,SP_Price_Houston,SP_Price_North,SP_Price_Panh,SP_Price_South,SP_Price_West,DA_Price_Houston,DA_Price_North,DA_Price_Panh,DA_Price_South,ERC_Wind_Total,ERC_Load,ERC_Solar,ERC_NLoad,ERC_SLoad,ERC_WLoad,ERC_HLoad,ERC_CWind,ERC_NWind,ERC_PWind,ERC_SWind,ERC_WWind,ACTUAL_ERC_Load,ACTUAL_ERC_HLoad,ACTUAL_ERC_NLoad,ACTUAL_ERC_SLoad,ACTUAL_ERC_WLoad,ACTUAL_ERC_CWind,ACTUAL_ERC_NWind,ACTUAL_ERC_PWind,ACTUAL_ERC_SWind,ACTUAL_ERC_Wind,ACTUAL_ERC_WWind,ACTUAL_ERC_Solar,Outage,RT_DA,SP_Price_North_cap
2023-02-01 00:00:00,36.2125,37.6125,38.22,32.9225,38.53,38.42,41.54,41.17,35.43,43.6,57140.0,0.0,22500.0,16010.0,7280.0,11340.0,1810.0,0.0,80.0,780.0,30.0,57103.0,11129.09,21582.79,16678.09,7712.58,2542.81,92.81,55.0,1283.81,4030.99,56.56,0.24,18327.0,-3.927500000000002,37.6125
2023-02-01 01:00:00,34.275,36.075,36.855,30.0375,37.2525,36.5,38.65,38.39,33.65,40.92,56750.0,0.0,22530.0,15760.0,7300.0,11160.0,1940.0,0.0,100.0,850.0,30.0,56574.0,10989.98,21404.36,16513.99,7665.68,2818.83,71.46,99.67,1010.19,4064.79,64.64,0.23,18327.0,-2.5749999999999957,36.075
2023-02-01 02:00:00,34.43,41.03,44.56,28.01,46.3375,36.64,39.01,38.76,33.76,41.59,56830.0,0.0,22750.0,15720.0,7280.0,11080.0,2130.0,0.0,110.0,920.0,30.0,56369.0,10926.3,21286.48,16512.22,7644.05,3061.07,75.72,100.81,930.57,4210.19,42.02,0.23,18327.0,2.020000000000003,41.03
2023-02-01 03:00:00,31.735,46.9925,55.9375,21.3975,60.445,37.17,40.12,39.89,33.87,42.51,57000.0,0.0,22820.0,15800.0,7240.0,11140.0,2220.0,0.0,100.0,960.0,20.0,56052.0,10989.15,21379.52,16436.49,7247.3,2864.8,88.8,60.16,1089.92,4151.2,47.52,0.23,18327.0,6.872500000000002,46.9925
2023-02-01 04:00:00,33.3625,47.61,56.105,25.0425,60.3875,39.09,43.0,42.53,34.74,45.35,58000.0,0.0,23190.0,16190.0,7230.0,11390.0,2240.0,0.0,80.0,940.0,20.0,56871.0,11295.2,21653.17,16528.84,7393.56,3047.25,104.76,71.55,1084.94,4331.33,22.83,0.24,18327.0,4.609999999999999,47.61
2023-02-01 05:00:00,34.93,38.8175,41.2325,33.9425,42.4475,45.16,53.27,52.74,39.38,56.07,60410.0,0.0,24100.0,17020.0,7320.0,11970.0,2210.0,0.0,100.0,900.0,10.0,58176.0,11905.37,22051.53,16816.28,7402.84,2725.51,138.39,103.92,860.93,3898.71,69.96,0.23,18327.0,-14.4525,38.8175
2023-02-01 06:00:00,33.41,36.5725,38.18,33.425,38.9825,85.93,100.0,98.76,72.07,101.03,63950.0,0.0,25380.0,18270.0,7520.0,12780.0,2080.0,0.0,130.0,830.0,10.0,59917.0,12736.21,22502.3,17383.87,7294.43,2140.36,127.1,88.97,691.43,3096.83,48.97,0.22,18065.0,-63.4275,36.5725
2023-02-01 07:00:00,35.645,40.29,42.1725,39.1125,43.11,98.77,116.96,115.51,82.45,117.51,65600.0,10.0,25960.0,18950.0,7500.0,13200.0,1970.0,0.0,160.0,770.0,10.0,61255.0,13144.24,23050.06,17769.41,7291.73,1705.17,74.31,159.7,642.64,2608.08,26.26,9.14,17955.0,-76.66999999999999,40.29
2023-02-01 08:00:00,37.0975,41.695,42.94,43.7225,43.545,95.0,112.29,111.48,79.14,112.07,65600.0,260.0,25870.0,18960.0,7430.0,13340.0,1890.0,0.0,150.0,720.0,10.0,61976.0,13293.72,23418.94,17931.04,7332.12,1381.49,48.53,148.31,498.15,2108.78,32.3,179.38,18113.0,-70.595,41.695
2023-02-01 09:00:00,27.925,36.2825,38.7125,39.075,39.8975,104.51,118.53,119.8,89.79,119.28,65490.0,640.0,25650.0,18860.0,7520.0,13460.0,1850.0,0.0,100.0,660.0,10.0,62664.0,13428.88,23734.05,18117.87,7382.93,1198.45,57.15,145.06,513.96,1947.13,32.51,621.74,18113.0,-82.2475,36.2825
2023-02-01 10:00:00,30.615,37.425,39.515,39.3825,40.545,103.4,111.3,112.16,97.28,112.11,64980.0,990.0,25370.0,18630.0,7500.0,13480.0,1650.0,0.0,40.0,540.0,0.0,62776.0,13467.04,23771.24,18162.88,7375.01,1067.98,61.62,100.46,484.75,1776.82,62.01,1112.82,18113.0,-73.875,37.425
2023-02-01 11:00:00,39.88,41.39,42.415,38.8775,42.935,91.62,97.71,97.64,86.6,96.99,63710.0,1380.0,24890.0,18150.0,7310.0,13360.0,1430.0,0.0,20.0,440.0,0.0,62782.0,13444.31,23838.7,18147.41,7351.49,1018.21,39.27,68.62,494.02,1627.51,7.39,1351.15,18113.0,-56.31999999999999,41.39
2023-02-01 12:00:00,40.545,42.7975,44.215,39.0575,44.925,68.28,73.29,73.07,64.69,72.39,62100.0,1680.0,24260.0,17590.0,7120.0,13120.0,1320.0,0.0,30.0,400.0,0.0,62433.0,13338.09,23773.41,17969.19,7352.05,927.97,33.79,105.01,416.42,1498.66,15.47,1473.8,17201.0,-30.492500000000007,42.7975
2023-02-01 13:00:00,31.5775,43.175,54.505,61.325,60.3,60.0,63.71,63.44,57.37,62.81,60670.0,1600.0,23670.0,17080.0,7010.0,12910.0,1290.0,0.0,70.0,410.0,0.0,62111.0,13285.04,23602.34,17784.48,7439.19,870.85,12.38,485.92,378.57,1806.04,58.32,1497.94,17201.0,-20.535000000000004,43.175
2023-02-01 14:00:00,31.385,35.01,40.7125,44.075,42.9875,62.19,64.87,64.94,60.0,64.34,59410.0,1320.0,23140.0,16610.0,6940.0,12710.0,1380.0,0.0,160.0,470.0,0.0,61447.0,13199.04,23339.15,17578.48,7330.32,893.69,8.67,773.51,436.13,2130.88,18.88,1416.75,16721.0,-29.860000000000007,35.01
2023-02-01 15:00:00,30.855,40.595,47.745,53.6325,51.2925,63.08,65.99,66.04,60.56,65.36,58850.0,1070.0,22870.0,16350.0,6940.0,12670.0,1550.0,0.0,280.0,540.0,10.0,61258.0,13199.48,23300.36,17342.45,7415.97,943.06,11.95,475.17,499.67,1950.62,20.77,871.11,16596.0,-25.394999999999996,40.595
2023-02-01 16:00:00,38.98,49.655,56.82,40.2125,60.4,93.63,98.98,98.61,89.27,98.3,59390.0,760.0,23040.0,16560.0,6990.0,12800.0,1630.0,0.0,310.0,610.0,10.0,61979.0,13240.25,23509.59,17702.72,7526.13,1256.2,8.2,207.44,611.3,2097.45,14.31,552.2,16294.0,-49.325,49.655
2023-02-01 17:00:00,49.88,71.7475,85.64,37.7375,92.435,112.9,115.69,115.89,109.9,116.73,60690.0,300.0,23550.0,17180.0,6860.0,13100.0,1560.0,0.0,310.0,630.0,10.0,62624.0,13464.99,23948.33,17936.2,7274.69,1629.98,12.89,214.9,739.64,2618.13,20.72,139.02,16149.0,-43.942499999999995,71.7475
2023-02-01 18:00:00,34.535,50.0325,59.3375,29.815,63.875,121.92,126.85,126.42,118.05,127.54,62520.0,20.0,24170.0,17930.0,7050.0,13370.0,1370.0,0.0,350.0,620.0,10.0,63401.0,13582.38,24053.32,18438.38,7327.07,1630.23,11.79,403.81,763.49,2815.79,6.47,2.26,15858.0,-76.8175,50.0325
2023-02-01 19:00:00,28.225,42.7375,50.4525,33.6825,54.2875,94.32,98.0,98.05,91.18,100.0,62920.0,0.0,24190.0,18180.0,7250.0,13310.0,1370.0,0.0,340.0,600.0,10.0,63006.0,13420.21,23566.18,18444.12,7575.71,1515.62,1.4,431.04,614.15,2579.07,16.86,0.23,16062.0,-55.2625,42.7375
2023-02-01 20:00:00,28.325,39.25,49.1575,41.555,58.6875,84.54,87.0,86.03,82.53,89.07,62310.0,0.0,23950.0,18040.0,7190.0,13130.0,1310.0,0.0,250.0,560.0,10.0,61576.0,13193.15,22950.73,18091.46,7340.45,1240.49,0.6,212.79,526.72,1993.75,13.15,0.23,16182.0,-47.75,39.25
2023-02-01 21:00:00,32.155,40.7425,47.03,33.4025,51.08,59.05,60.85,60.22,57.76,61.89,60850.0,0.0,23280.0,17610.0,7210.0,12750.0,1180.0,0.0,170.0,520.0,10.0,59878.0,12753.05,22206.52,17468.21,7450.49,1061.26,0.64,183.54,391.44,1649.87,12.99,0.26,16182.0,-20.1075,40.7425
2023-02-01 22:00:00,33.25,44.81,52.585,31.245,56.53,36.04,37.24,37.17,34.92,39.39,58500.0,0.0,22320.0,16790.0,7150.0,12240.0,1110.0,0.0,100.0,470.0,10.0,57424.0,12118.09,21339.31,16584.43,7382.07,1177.59,0.5,144.5,290.5,1624.89,11.8,0.24,16182.0,7.57,44.81
2023-02-01 23:00:00,28.4525,40.64,48.3775,28.0575,52.3725,32.74,33.09,33.09,32.52,35.34,56210.0,0.0,21470.0,15990.0,6980.0,11760.0,1120.0,0.0,50.0,440.0,10.0,55428.0,11561.66,20625.35,15910.28,7330.68,1277.3,1.01,113.34,275.04,1672.97,6.28,0.24,16066.0,7.549999999999997,40.64
